;TrV;Benämning;Definition;Synonym
Komponenter;PHF;Markeringsstolpe;grafisk display genom sin fysiska karaktär;avvägningsdubb, boj, distanspåle, kabelmarkeringspåle, kantstolpe, kardinalprick, lateralprick, markeringsstolpe, pollare, prick, referenspunkt, ruskprick, sjömärke
Komponenter;PJ;Ljudsignalerande objekt;presenterande objekt i hörbar form;
Komponenter;PJA;Högtalare;ljudsignalerande objekt genom membranrörelse;
Komponenter;PJB;Akustiskt larmdon;ljudsignalerande objekt genom luftström;hesa fredrik, mistlur, siren, sirén, starktonssirén, tyfon
Komponenter;PJC;Ringklocka;ljudsignalerande objekt genom mekanisk excitation;summer
Komponenter;PK;Taktilt signalerande objekt;presenterande objekt i taktil form;
Komponenter;PKA;Vibrator;taktilt signalerande objekt av diskreta tillstånd genom vibration;
Komponenter;PKB;Taktil markering;taktilt signalerande objekt av statisk information;bullerremsa, bullerräffla, ledstråk, teckensrpåksskylt
Komponenter;PKC;Frihöjdvarning;taktilt signalerande objekt för överliggande hinder;
Komponenter;PL;Utsmyckande objekt;presenterande objekt för utsmyckande eller konstnärliga syften;
Komponenter;PLA;Gesims;utsmyckande objekt som separation mellan två områden;kornisch
Komponenter;PLB;Skulptur;utsmyckande objekt som rumslig representation av något;konstverk
Komponenter;PLC;Fris;utsmyckande objekt som utskjutande figurer och/eller dekorativa element på en vägg;engagerad kolonn, halvkolonn, pilaster, stuckatur
Komponenter;PLD;Bild;utsmyckande objekt som representerar, illustrerar eller reproducerar något på en yta;konstverk, tavla, muralmålning
Komponenter;PLE;Prydnadsmatta;utsmyckande objekt genom en textil som täcker del av ett annat objekt;väggtextil, överkast
Komponenter;PZ;Multipelt presenterande objekt;presenterande objekt i multipla former;
Komponenter;PZA;Audiovisuellt alarm;multipelt presenterande objekt för diskreta tillstånd;
Komponenter;PZB;TV-apparat;multipelt presenterande objekt för multipel information;bildskärm med högtalare, tv-mottagare
Komponenter;PZC;Interaktiv terminal;multipel presenterande objekt med interaktiv funktion;Prator
Komponenter;Q;Styrande objekt;objekt för öppning/stängning och styrning av tillträde eller flöde;
Komponenter;QA;Elbrytande objekt;styrandeobjekt för elektrisk ström i en elektrisk krets;
Komponenter;QAA;Strömkretsbrytare;elbrytande objekt mekaniskt under normala eller onormala förhållanden;isolerkopplad effektbrytare (mccb), luftbrytare, låskolvskontakt, magnetisk luftbrytare, mikrobrytare, mjukstartare, motorskyddsbrytare, nödstopp, oljeminimumbrytare, polkopplare, spanjolettkontakt, startkopplare, startkopplare för tvillingpump, stjärntriangelkoppling, stoppdon, strömbrytare, strömställare, svavel-hexafluoridbrytare (sf6), tryckknapp (fjädrande), tryckluftbrytare, vakuumbrytare, återställningsapparat
Komponenter;QAB;Kontaktor;elbrytande objekt mekaniskt under normala förhållanden enbart;aktor (knx), högspänningskontaktor, lågspänningskontaktor, relä
Komponenter;QAC;Elektronisk strömbrytare;elbrytande objekt elektroniskt ;eltermostat, omkopplare för styrkrets, termostat
Komponenter;QB;Elseparerande objekt;styrande objekt genom att separera elektriska kretsar;
Komponenter;QBA;Frånskiljare;elseparerande objekt genom mekanisk isolering av nedströms krets endast från uppströms krets;arbetsbrytare, säkerhetsbrytare
Komponenter;QBB;Säkringslastfrånskiljare;elseparerande objekt genom mekanisk isolering av nedströms krets endast från uppströms krets och med inbyggd säkring;
Komponenter;QBC;Isolerskarv;elseparerande objekt med mekanisk ihopfogning;
Komponenter;QC;Jordande objekt;styrande objekt genom att jorda elektriska kretsar;
Komponenter;QCA;Jordkoppling;jordande objekt som kopplar elektrisk krets till jord;jordningskopplare
Komponenter;QM;Styrande objekt av slutet fluidflöde;styrande objekt av fluidflöde av/på i sluten omslutning;
Komponenter;QMA;Vätskeventil;styrande objekt av slutet fluidflöde för vätska;armatur, avstängningsventil, avtappningsanordning, bidéblandare, blandare, duscharmatur, duschblandare, drickfontän, handfatsblandare, köksblandare, magnetventil, propp, sargblandare, tappkran, tappventil, termostatblandare, tvättställsblandare, tömningsventil, utkastare, vattenblandare, vattenfallsblandare, vattenkran, vattenuttag
Komponenter;QMB;Gasventil;styrande objekt av slutet fluidflöde för gas;avluftare, luftventil, propp, ventil
Komponenter;QN;Reglerande objekt av slutet fluidflöde;styrande objekt för variation av fluidflöde i sluten omslutning;
Komponenter;QNA;Reglerventil för vätska;reglerande objekt av slutet fluidflöde för vätska;shunt, shuntventil, styrventil, ställdon
