;TrV;Benämning;Definition;Synonym
Komponenter;UCA;Apparatskåp;omslutande object för apparater;anslutningsdosa, apparatdosa, apparatlåda, dosa, dragbrunn, elskåp, fjärrvärmecentral, installationsskåp, kabelmätarskåp, kabelbrunn, kabelskåp, kapslad central, kopplingsbox, kopplingsbrunn, kopplingsdosa, monteringsram, mätarskåp, rack, stativ, tändplats, växelvärmeskåp
Komponenter;UCB;Växtjord;omslutande object för växtrötter;blomjord
Komponenter;UCC;Ventilationshuv;delvis omslutande object för punktventilation;draghuv, dragskåp, kökskåpa, renluftsbänk, spiskåpa, säkerhetsbänk, ventilerad förvaringsenhet
Komponenter;UE;Byggkonstruktivt objekt i mark;hållande objekt för grundläggning;
Komponenter;UEA;Bärande skikt Markplatta;markkonstruktivt objekt i form av ett liggande plan som överför för transversallaster till mark;bottenplatta, bärlager, fördelningsplatta, grundplatta, ledningsbädd, platta på mark, skelettjord, spårballast, överballast
Komponenter;UEB;Markfundament;byggnadskonstruktivt fundament stående långsträckt form som överför laster till marken;fundament, grundfundament, pelarholk, plint, påle
Komponenter;UEC;Sliper;markkonstruktivt objekt i långsträckt form som överför transversallaster till mark;
Komponenter;UED;Bindlager;markkonstruktivt objekt i form av ett liggande plan som tar upp skjuvkrafter;sättbruk, sättsand
Komponenter;UF;Vertikalt byggkonstruktivt objekt;hållande objekt som formar strukturellt stöd i vertikal riktning;
Komponenter;UFB;Pelare;vertikalt lastöverförande objekt i långsträckt form som överför axiella trycklaster vertikalt till andra strukturella objekt;baluster, fackverkspelare, kolonn, pylon, regel, stödben
Komponenter;UFC;Bärande stödmur;vertikalt lastöverförande objekt i form av ett stående plan som överför vertikala och transversala laster;frontmur, grusskifte, källarväggstomme, lagerpall, landfäste
Komponenter;UFD;Väggkärna;vertikalt lastöverförande objekt i form av ett stående plan som överför enbart vertikala laster;grundmur, mellanstöd, murverk, skiva, skivpelare, väggmur, väggregelverk, väggstomskiva, väggstomme
Komponenter;UFE;Stödmur;vertikalt lastöverförande objekt i form av ett stående plan som överför transversala laster;stödvägg, kajmur, plåt på stålbågar, sekantpåle, slitsmur, spont, stenfylld nätkorg, trädgropsfundament, vingmur
Komponenter;UG;Horisontellt byggkonstruktivt objekt;hållande objekt som formar strukturellt stöd i horisontell riktning;
Komponenter;UGA;Balk;horisontellt byggkonstruktivt objekt i långsträckt form som överför primärt transversallaster till andra strukturella objekt;brosliper, bumerangbalk, bärlina, fackverksbalk, grundbalk, hammarband, krökt balk, linjesliper, omvänd sadelbalk, pulpetbalk, rak balk, sadelbalk, sliper, syll, takstol, traversbalk, vierendeelbalk, votad balk
Komponenter;UGB;Bärande platta;horisontellt byggkonstruktivt objekt i form av ett liggande plan som överför transversallaster till andra strukturella objekt;balkongplatta, bjälklagsplatta, brobaneplatta, fördelningsplatta, grundplatta, grundsula, håldäckselement, loftgångsplatta, massivelelement, plattbärlag, påldäck, pålfundament, pålplatta, pålplint, tt-kassett
Komponenter;UGC;Stödplatta;horisontellt byggkonstruktivt objekt i form av en platta som fördelar last från ett överliggande till ett underliggande strukturellt objekt;bergsko, jordsko, lagerklack, maskinfundament, pålsko, stödklots, stödknap
Komponenter;UGD;Konsol;horisontellt byggkonstruktivt objekt i form av en utkragning som överför transversallaster från ett överliggande objekt;brobanekonsol
Komponenter;UH;Byggkonstruktivt stag;byggkonstruktivt hållande objekt i riktningsoberoende orientering;
Komponenter;UHA;Dragstag;Byggkonstruktivt stag som överför axiella draglaster;bärkabel, snedsträva, spännstag, spännstål, stag, stång
Komponenter;UHB;Tryckstag;Byggkonstruktivt stag som överför trycklaster;hammarband vid spontvägg, horisontellt tryckstag, kontrefort, strävpelare, stämp
Komponenter;UJ;Byggkonstruktiv båge;byggkonstruktivt hållande objekt i böjd form;
Komponenter;UJA;Bärande båge;riktningsoberoende byggkonstruktivt objekt som överför transversallaster till axiella laster;båge, inslagsvalv, klostervalv, kryssribbvalv, kryssvalv, rörskärm, stickvalv, stjärnvalv, tunnvalv, valvplåt
Komponenter;UJB;Brorör;riktningsoberoende lastöverförande objekt i form av ett rör med > 2 meter i diameter som överför last;trumma
Komponenter;UM;Förstärkande objekt;hållande objekt genom förstärkning ;
Komponenter;UMA;Armeringsstång;förstärkande objekt i form av en inbäddad stång;armeringsjärn, jordskruv, jordspik
Komponenter;UMB;Armeringsnät;förstärkande objekt i form av inbäddat nät eller duk;armeringsduk, geotextil, jordarmeringsnät, kanalnät, nät
Komponenter;UMC;Förstärkningslager;förstärkande objekt i form av ett masslager;rustbädd, underballast
Komponenter;UMD;Injekterad massa;förstärkande objekt i form av inbäddat material;jetinjektering, kc-pelare, kompakteringsinjektering, mdm-pelare, masstabilisering, penetrationsinjektering, pliggpålning, stenpelare, ytstabilisering
Komponenter;UME;Slutbleck;förstärkande objekt i form av ett slutbleck;
Komponenter;UMF;Utspetsning;förstärkande objekt i form av utspetsning;
Komponenter;UMG;Vertikaldränering;förstärkande objekt i form av ett vertikalt dränerande skikt;
Komponenter;UMH;Sprutbetong;förstärkande objekt i form av sprutbetong;
Komponenter;UMJ;Betonglining;förstärkande objekt i form av betonglining;
Komponenter;UMK;Avstyvning;förstärkande objekt i form av avstyvning;livavstyvning
Komponenter;UML;Förband;förstärkande objekt i form av tvärförband;tvärbalk, tvärförband
Komponenter;UMM;Förstärkningskabel;förstärkande objekt i form av kablar;kabel, staglina
Komponenter;UMN;Följare;förstärkande objekt i form av en horisontell sammanbindare;mellanliggare
Komponenter;UMP;Tryckbank;förstärkande objekt som med sin mothållande tyngd ger ökad stabilitet i jord;stödfyllning
Komponenter;UN;Inramande objekt;hållande objekt genom inramning ;
Komponenter;UNA;Karm;inramande objekt med en fast ram;dörrkarm, fönsterkarm, sarg, öppningskarm
Komponenter;UNB;Tröskel;inramande objekt i den lägsta delen av en dörröppning;
Komponenter;UNC;Ram;inramande objekt med en rörlig ram;båge, fönsterbåge, fönsterram
Komponenter;UND;Spröjs;inramande objekt som delar ett annat objekt;
Komponenter;UP;Sammankopplande objekt;hållande objekt genom att koppla ihop objekt;
Komponenter;UPA;Lager;sammankopplande objekt genom lager;axellager, brolager, rörligt lager
Komponenter;UPB;Gångjärn;sammankopplande objekt genom rörlig mekanisk fog;ledad pålskarv, länk, länkplatta
Komponenter;UPC;Kemisk fog;sammankopplande objekt genom kemisk fog;byggsilikon, fogmassa, glassilikon, silikon, våtrumssilikon
Komponenter;UPD;Skarv;sammankopplande objekt genom fast mekanisk fog;högspänningsskarv, lågspänningsskarv, rälsskarv
Komponenter;UQ;Fästande objekt;hållande objekt genom fastsättning;
Komponenter;UQA;Permanent mekanisk fastsättning;fästande objekt genom rigid permanent mekanisk infästning;dymling, falsning, nit, plugg, popnit, spik, spikplåt
Komponenter;UQB;Reversibel mekanisk fastsättning;fästande objekt genom rigid reversibel mekanisk infästning;ankarjärn, ankarplatta, ankarslut, balksko, befästning, bergbult, bergförankring, blindnit, bult, bärankare, bärkabelförankring, clip, fixering, fästdon, förankring, förankringsbult, förankringsplatta, förankringspunkt, grundskruv, hylsankare, infästningsbult, ingjutningsgods, knutplåt, kramla, kulankare, montageplåt, montageskena, mutter, omvikningskupa, pelarsko, plattankare, pålskarv, räckesförankring, rälsskarv, rörhylsa, sammanbindning, skruv, skruvförband, sprutbetongkors, stegband, surrning, svep, termoplastskruv, vajerlyft, väggankare, väggsko
Komponenter;UQC;Elastisk fastsättning;fästande objekt genom elastisk mekanisk anordning;avspänningsanordning, dilatationsfog
Komponenter;UQD;Permanent kemisk fastsättning;fästande objekt genom permanent kemisk infästning;bruksfog, cementfog, fogskum, gjutfog, kemankare, kemiskt trä, limfog, murbruk, svetsfog, svetsplatta, svetsplåt
Komponenter;UT;Nivåjusterande objekt;hållande objekt genom nivåjustering;
Komponenter;UTA;Fyllningsmassa;nivåjusterande objekt som ger en yta bestämd profil genom fyllning;avjämningslager, bankfyllning, flytspackel, fukthållande jord, filterlager, fyllning, förbelastning, justeringlager, kon, kringfyllning, lastreducerande fyllning, lättfyllning, resterande fyllning, slänt, spackel, tätkärna, återfyllning, övergångslager
Komponenter;UTB;Schaktmassa;nivåjusterande objekt som ger en yta bestämd profil genom schaktning;bergschakt, bergskärning, jordschakt, tunnel- och bergrumsgeometri, urgrävning
Komponenter;UU;Befintlig mark;hållande objekt genom befintlig mark;
Komponenter;UUA;Berg;befintlig mark som utgörs av berg;
Komponenter;UUB;Friktionsjord;befintlig mark som utgörs av friktionsjord;grus, morän, sand
Komponenter;UUC;Kohesionsjord;befintlig mark som utgörs av kohesionsjord;lera, kvicklera, silt
Komponenter;UUD;Organisk jord;befintlig mark som utgörs av organisk jord;dy, gyttja, torv
Komponenter;UUE;Fyllningsmaterial;befintlig mark som utgörs av fyllningsmaterial;
Komponenter;W;Ledande objekt;objekt för ledning från en plats till en annan;
Komponenter;WB;Högspänningsledande objekt;ledande objekt för högspänning;
Komponenter;WBA;Högspänningsamlingsskena;högspänningsledande objekt med en strömskena;ledningsbrygga
Komponenter;WBB;Högspänningskabel;högspänningsledande objekt med en isolerad ledning;elkabel, elledning, hängkabel, kraftkabel
Komponenter;WBC;Högspänningsfriledning;högspänningsledande objekt med en oisolerad ledning;hjälpkraftledning, kontaktledning, kontakttråd
Komponenter;WBD;Strömskena;högspänningsledande objekt med en isolerad styv ledare;
Komponenter;WBE;Högspänningsbussning;högspänningsledande objekt genom en omslutning eller vägg;
Komponenter;WD;Lågspänningsledande objekt;ledande objekt för lågspänning;
Komponenter;WDA;Lågspänningssamlingsskena;lågspänningsledande objekt med en strömskena;kontaktskena, ledningsbrygga
Komponenter;WDB;Lågspänningskabel;lågspänningsledande objekt med en isolerad ledning;elkabel, elledning, hängspiralkabel, kraftkabel, sladd
Komponenter;WDC;Lågspänningsfriledning;lågspänningsledande objekt med en oisolerad ledning;
Komponenter;WDD;Lågspänningsbussning;lågspänningsledande objekt genom en omslutning eller vägg;
Komponenter;WE;Referenspotentialledande objekt;ledande objekt för referenspotential;
Komponenter;WEA;Jordreferenspotentialsamlingsskena;referenspotentialledande objekt till jord med en skena;
Komponenter;WEB;Jordreferenspotentialkabel;referenspotentialledande objekt till jord med en ledning;
Komponenter;WEC;Referenspotentialsamlingsskena;referenspotentialledande objekt med en skena;
Komponenter;WED;Referenspotentialkabel;referenspotentialledande objekt med en ledning;
Komponenter;WG;Elsignalledande objekt;ledande objekt för elektriska signaler;
Komponenter;WGA;Styrsignalkabel;elsignalledande objekt för kontroll och mätning;brandkabel, kontrollkabel
Komponenter;WGB;Datasignalkabel;elsignalledande objekt för dataöverföring;datakabel, signalkabel
Komponenter;WGC;Datasignalbussning;elsignalledande objekt  genom en omslutning eller vägg;
Komponenter;WH;Ljusledande objekt;ledande objekt för ljus;
Komponenter;WHA;Optisk signalkabel;ljusledande objekt för signalöverföring;
Komponenter;WHB;Optisk ljuskabel;ljusledande objekt för ljusöverföring;optisk fiber
Komponenter;WHC;Lins;ljusledande objekt för bestämd ljusbrytning;
Komponenter;WHD;Spegel;ljusledande objekt för bestämd ljusreflektion;ljusreflektor, reflektor
Komponenter;WJ;Ljudledande objekt;ledande objekt för ljud;
Komponenter;WJA;Ljudreflektor;ljudledande objekt genom reflektion;ljudbaffel
Komponenter;WL;Solidmaterialedande objekt;ledande objekt för solid materia i öppen omslutning;
Komponenter;WLA;Rullbord;solidmaterialedande objekt genom rullning;
Komponenter;WLB;Kana;solidmaterialedande objekt genom lutning;rutschbana
Komponenter;WM;Öppet ledande objekt;ledande objekt för fluid i öppen omslutning;
Komponenter;WMA;Dräneringslager;öppet ledande objekt i ett lager;dränmatta, dränskiva, infiltrationslager
Komponenter;WMB;Ränna;öppet ledande objekt för vätska i ränna;dike, dräneringskanal, fotränna, gesimsränna, halvrör, hängränna, kanal, mätränna, ränndal, ränndalsplatta, skibord
Komponenter;WMC;Bleck;öppet ledande objekt för vätska med öppen yta;beslag, fönsterbleck, plåt, plåtbeslag
Komponenter;WMD;Droppnäsa;öppet fluidledande objekt för vätska genom överhäng;
Komponenter;WME;Fotplåt;öppet ledande objekt för vätska till ränna genom profil;
Komponenter;WMF;Dränrör;öppet ledande objekt i ett perforerat rör;infiltrationsrör, luftningsrör
Komponenter;WMG;Infiltrationsbrunn;öppet ledande objekt i en öppen brunn;dränbrunn, luftbrunn, perkolationsbrunn, radonbrunn
Komponenter;WP;Slutet ledande objekt;ledande objekt för materia i sluten omslutning;
Komponenter;WPA;Rör;slutet ledande objekt i cirkulär styv form;avloppsrör, distributionsledning,  huvudledning, installationsrör,  servisledning, sidotrumma, spillvattenrör, spirorör, spiralrör, stuprör, tilloppstub, torrtrumma, trumma, tub, va-ledning, vattenledning, vattenrör, vp-rör, vägtrumma
Komponenter;WPB;Kanal;slutet ledande objekt i icke-cirkulär styv form;avgaskanal, avgasrör, kanal, skorsten
Komponenter;WPC;Slang;slutet ledande objekt i flexibel form;elrör, gasutlopp, installationsrör, luftslang, vattenslang, vp-rör, vätskeslang
Komponenter;WQ;Mekanisk energiledande objekt;ledande objekt för mekanisk energi;
Komponenter;WQA;Drivaxel;mekanisk energiledande objekt genom en axel;stång
Komponenter;WQB;Rem;mekanisk energiledande objekt genom en rem;kilrem, kuggrem, lina, rep, stålbälte, stållina
Komponenter;WQC;Kedja;mekanisk energiledande objekt genom en kedja;
Komponenter;WQD;Kopplingsanordning;mekanisk energiledande objekt genom en kopplingsanordning;
Komponenter;WQE;Hjul;mekanisk energiledande objekt genom ett hjul;kedjedrev, kuggkjul
Komponenter;WQF;Kuggstång;mekanisk energiledande objekt genom en kuggstång;
Komponenter;WQG;Hydraulslang;mekanisk energiledande objekt genom en fluidlänk;hydraulrör, tryckluftslang, tryckluftsrör
Komponenter;WR;Rälsobjekt;ledande objekt för spårbundna objekt;
Komponenter;WRA;Räl;rälsobjekt som ger en styrd färdväg;farräl, gaturäl, gejder, mellanräl, moträl, spetsräl, stödräl, vingräl, övergångsräl
Komponenter;WRB;Spårkors;rälsobjekt för korsning;
Komponenter;WV;Termisk energiledande objekt;ledande objekt för termisk energi;
Komponenter;WVA;Termisk massa;termisk energiledande objekt genom en solid massa;
Komponenter;WVB;Termisk vätska;termisk energiledande objekt genom en statisk vätska;
Komponenter;WZ;Ledande objekt för multipla flödestyper;ledande objekt för multipla flödestyper;
Komponenter;WZA;Hybridkabel;ledande objekt för multipla flödestyper för elektrisk energi, elektriska signaler, optiska signaler, mekanisk energi och/eller vätska;
Komponenter;X;Gränssnittsobjekt;objekt för gränssnitt till objekt;
Komponenter;XB;Anslutande objekt för högspänning;gränssnittsobjekt för högspänning;
Komponenter;XBA;Elkraftplint för högspänning;anslutande objekt för högspänning för en anslutning;
Komponenter;XBB;Elkraftanslutning för högspänning;anslutande objekt för högspänning för flera stickproppar;kopplingsklämma
Komponenter;XBC;Eluttagslåda för högspänning;anslutande objekt för högspänning för flera fasta anslutningar;
Komponenter;XD;Anslutande objekt för lågspänning;gränssnittsobjekt för lågspänning;
Komponenter;XDA;Elkraftplint för lågspänning;anslutande objekt för lågspänning för en anslutning;kopplingsplint, stolpinsats
Komponenter;XDB;Elkraftanslutning för lågspänning;anslutande objekt för lågspänning för flera stickproppar;pinnlödningsanslutning, reservkraftintag
Komponenter;XDC;Eluttagslåda för lågspänning;anslutande objekt för lågspänning för flera fasta anslutningar;uttagscentral
Komponenter;XDD;Elkraftuttag för lågspänning;anslutande objekt för lågspänning för  fast anslutning av en flexibel kabel för elektrisk apparatur;bilvärmaruttag, eluttag, golvuttag, lamputtag, motorvärmaruttag, vägguttag
Komponenter;XDE;Elkraftterminal för lågspänning;anslutande objekt för lågspänning för  flera stickproppsanslutna elektriska apparater;elskena, golvbox, kontaktskena, uttagsbox, uttagspanel, uttagsstav
Komponenter;XE;Potentialanslutande objekt;gränssnittsobjektför jord eller referenspotential;
Komponenter;XEA;Skyddsjordskena;potentialanslutande objekt till skyddsjord;jordkontakt, kulbult, skyddsjordterminal, skyddsjordkontakt
Komponenter;XEB;Skyddspotentialutjämningsskena;potentialanslutande objekt till potentialutjämning;ekp-dubb
Komponenter;XEC;Funktionsjordskena;potentialanslutande objekt till funktionell jord;
Komponenter;XED;Funktionspotentialutjämningsskena;potentialanslutande objekt till funktionell koppling;
Komponenter;XEE;Jordelektrod;potentialanslutande objekt som ger elektrisk kontakt med jord;jordspett, jordplatta
Komponenter;XEF;Åskledare;potentialanslutande objekt som kopplar blixt till elektrisk krets;
Komponenter;XG;Elsignalanslutande objekt;gränssnittsobjekt för elektriska signaler;
Komponenter;XGA;Signalkoppling;elsignalanslutande objekt med en kopplingspunkt;datauttag, signaluttag, tele/datauttag, teleuttag, uttag
Komponenter;XGB;Signalkontakt;elsignalanslutande objekt med en pluggningspunkt;dörrkontakt, kontakt
Komponenter;XGC;Signalfördelare;elsignalanslutande objekt med flera pluggningspunkter;10-parsplint, hub, kopplingsbox, kopplingslåda, kopplingsplint, nätnav, spridningsplint
Komponenter;XGD;Patchpanel;elsignalanslutande objekt för flera linjer;uttagspanel, uttagsplint
Komponenter;XH;Ljusanslutande objekt;gränssnittsobjekt för optiska fibrer;
Komponenter;XHA;Fiberuttag;ljusanslutande objekt med en eller flera pluggningspunkt(er);fiberbox
Komponenter;XK;Insamlande objekt till flöde;gränssnittsobjekt i början av ett styrt flöde;
Komponenter;XKA;Utslagsback;insamlande objekt för avloppsvatten;bidé, diskbänk, handfat, spolanordning, spolfunktion, spolpost, diskho, disklåda, handfat, mattvättho, spolback, tvättbalja, tvättbänk, tvättlåda, tvättränna, tvättställ
Komponenter;XKB;Toalettstol;insamlande objekt för avföring och  urin;klosett, vattenklosett, vattentoalett, wc, wc-stol
Komponenter;XKC;Urinoar;insamlande objekt för enbart urin;urinal
Komponenter;XKD;Droppkopp;insamlande objekt för överskottsvätska från tekniskt system;kakfat, vattkupa, vattenkupa
Komponenter;XKE;Inloppsbrunn;insamlande objekt för överskott;dagvattenbrunn, gallerbrunn, golvbrunn, kupolbrunn, rännstensbrunn, spygatt, takbrunn, ytavlopp
Komponenter;XM;Anslutningsobjekt för slutet flöde;gränssnittsobjekt för slutet flöde av materia;
Komponenter;XMA;Avtagbar rörkoppling;avtagbart slutet flödesanslutande objekt;banjokoppling, brandpost, brunn, hylskoppling, klämringskoppling, korskoppling, l-koppling, muffkoppling,  rak koppling, rörmuff, slangkoppling, snabbkoppling, stos, t-koppling, y-koppling
Komponenter;XMB;Fast rörkoppling;fast slutet flödesanslutande objekt;flänskoppling, lödkoppling
Komponenter;XMC;VA-brunn;omslutande slutet flödesanslutande objekt;brunn, nedstigningsbrunn, rb-brunn, rensbrunn, spolbrunn, storbrunn, tillsynsbrunn
Komponenter;XN;Fast mekanisk koppling;gränssnittsobjekt för fast överföring av mekaniska krafter;
Komponenter;XNA;Flänskoppling;fast mekanisk koppling av axlar med ett par flänsar;
Komponenter;XNB;Muffkoppling;fast mekanisk koppling av axlar med delad muff;
Komponenter;XNC;Splineskoppling;fast mekanisk koppling mellan axlar med samverkande tänder och skåror;hirthkoppling
Komponenter;XND;Flexkoppling;fast mekanisk koppling mellan icke parallella axlar;kardanknut
Komponenter;XNE;Koppel;fast mekanisk koppling som fångar upp och kopplar ihop två rörliga objekt ;järnvägskoppel, skrivkoppel, centralkoppel
Komponenter;XNF;Länk-pinnkoppling;fast mekanisk koppling för fixering mellan två rörliga objekt ;
Komponenter;XP;Urkopplingsbar mekanisk koppling;gränssnittsobjekt för icke kontinuerlig överföring av mekaniska krafter;
Komponenter;XPA;Friktionskoppling;objekt för in- och urkoppling av mekanisk kraft genom friktion;centrifugalkoppling, hydraulisk koppling
Komponenter;XPB;Vätskekoppling;objekt för in- och urkoppling av mekanisk kraft genom hydrodynamisk effekt;
Komponenter;XPC;Frihjul;objekt för in- och urkoppling av mekanisk kraft genom ömsidig låsning;spärrkoppling
Komponenter;XPD;Magnethållare;objekt för in- och urkoppling av mekanisk kraft genom magnetisk kraft;dörrhållare, dörrhållarmagnet, dörrmagnet, magnetlås
Komponenter;XS;Nivåförbindande objekt;gränssnittsobjekt mellan nivåer;
Komponenter;XSA;Vilplan;nivåförbindande objekt i form av ett horisontellt plan kopplat till ett trapplopp;avsats, arbetsbrygga, gångbrygga, inspektionsbrygga, skorstensbrygga, takbrygga
Komponenter;XSB;Trapplopp;nivåförbindande objekt i form av en serie steg;lejdare, rak trappa, spiraltrappa, trappstege, vindeltrappa
Komponenter;XSC;Stege;nivåförbindande objekt av en serie stegpinnar;skorstensstege, takpinnstege, taksteg, takstege, taktrappstege
Komponenter;XSD;Ramp;nivåförbindande objekt i form av ett lutande plan;
Komponenter;XSE;Brandstång;nivåförbindande objekt i form av en vertial påle;glidstång
Komponenter;XT;Utrymmesförbindande objekt;gränssnittsobjekt mellan utrymmen;
Komponenter;XTA;Öppning;utrymmesförbindande objekt i form av genomträngning;bergschakt för tunnel, brevinkast, erhållen tunnelkontur, hål, trappöppning, tunnel, öppning
Komponenter;XTB;Hålrum;utrymmesförbindande objekt i form av hålrum;grop, bergrum, bergschakt för bergrum, bergschakt för dike,  bergschakt för ledning, bergschakt för magasin, borrhål, erhållen bergrumskontur, hålighet, jordschakt för dike, jordschakt för ledning, jordschakt för magasin, nisch, urgröpning, ursparing
Komponenter;XZ;Anslutande objekt för multipla flödestyper;gränssnittsobjekt för multipla flödestyper;
Komponenter;XZA;Hybridkontakt;anslutande objekt för multipla flödestyper för elektrisk energi, elektriska signaler, optiska signaler och/eller vätska;
Komponenter;Y;Utrustning och inredning;objekt som behövs för en viss tillämpning eller verksamhet;
Komponenter;YA;Utrustning;utrustning som behövs för en viss tillämpning eller verksamhet och som används aktivt;anläggningskomplettering
Komponenter;YAA;Fast utrustning;utrustning som är permanent fästad vid, hopbyggd med eller inbyggd i annan byggdel;idrottsutrustning, lekutrustning, parkutrustning, trädgårdsutrustning
Komponenter;YAB;Lös utrustning;utrustning som kan tas bort eller flyttas utan särskilda hjälpmedel;idrottsutrustning, lekutrustning, parkutrustning, trädgårdsutrustning
Komponenter;YB;Inredning;inredning som är placerad i ett utrymme för att möjliggöra viss typ av verksamhet i utrymmet, men som inte används aktivt i verksamheten;anläggningskomplettering
Komponenter;YBA;Fast inredning;inredning som är permanent fästad vid, hopbyggd med eller inbyggd i annan byggdel;byggnadsanknuten inredning, byggnadspåverkande inredning, fast inredningsenhet, möbel, parkmöbel
Komponenter;YBB;Lös inredning;inredning som kan tas bort eller flyttas utan särskilda hjälpmedel;lös inredningsenhet, möbel, parkmöbel
Komponenter;Z;Objekt för utformning, referensobjekt och inmätt objekt;objekt som stödjer utformning, eller referensobjekt för inmätning, eller inmätt objekt;
Komponenter;ZA;Objekt för byggnadsutformning;objekt för utformning av byggnad;
Komponenter;ZAA;Stomlinje;objekt för byggnadsutformning som utgör stomlinje;
Komponenter;ZAB;Baslinje;objekt för byggnadsutformning som utgör baslinje;
Komponenter;ZAC;Centrumlinje;objekt för byggnadsutformning som utgör centrumlinje;
Komponenter;ZAD;Modulnät;objekt för byggnadsutformning som utgör linje i modulnät;
Komponenter;ZB;Objekt för anläggningsutformning;objekt för utformning av anläggning;
Komponenter;ZBA;Väggeometri;objekt för anläggningsutformning som utgör definitionslinje för väg;staklinje, väglinje, utsättningslinje
Komponenter;ZBB;Spårgeometri;objekt för anläggningsutformning som utgör definitionslinje för spår;spårlinje, staklinje,  utsättningslinje
Komponenter;ZBC;Spårväxelgeometri;objekt för anläggningsutformning som utgör definitionslinje för spårväxel;
Komponenter;ZBD;Teoretisk tunnelkontur;objekt för anläggningsutformning som utgör teoretisk tunnelkontur;
Komponenter;ZBE;Teoretisk invändig tunnelkontur;objekt för anläggningsutformning som utgör teoretisk invändig tunnelkontur;
Komponenter;ZBF;Teoretisk tunnelinklädnad;objekt för anläggningsutformning som utgör teoretisk tunnelinklädnad;
Komponenter;ZBG;Teoretisk tätzon;objekt för anläggningsutformning som utgör teoretisk tätzon;
Komponenter;ZBH;Nivåkurva;objekt för anläggningsutformning som utgör linje som sammanbinder punkter med samma nivå;
Komponenter;ZC;Punkt i rikets triangelnät;referensobjekt för inmätning i rikets nät;
Komponenter;ZCA;Triangelpunkt i rikets nät;punkt i rikets triangelnät;
Komponenter;ZD;Punkt i anslutningsnät;referensobjekt för inmätning i anslutningsnät;
Komponenter;ZDA;Triangelpunkt i anslutningsnät;triangelpunkt i anslutningsnät;
Komponenter;ZDB;Polygonpunkt i anslutningsnät;polygonpunkt i anslutningsnät;
Komponenter;ZE;Punkt i primärnät;referensobjekt för inmätning i primärnät;
Komponenter;ZEA;Triangelpunkt i primärnät;triangelpunkt i primärnät;
Komponenter;ZEB;Polygonpunkt i primärnät;polygonpunkt i primärnät;
Komponenter;ZEC;Polygonpunkt väggmonterad i primärnät;polygonpunkt väggmonterad i primärnät;
Komponenter;ZED;Fri station i primärnät;fri station i primärnät;
Komponenter;ZEF;Gränspunkt i primärnät;gränspunkt i primärnät;
Komponenter;ZEG;Höjdfix i primärnät;höjdfix i primärnät;
Komponenter;ZEH;Flygstödspunkt i primärnät;flygstödspunkt i primärnät;
Komponenter;ZEJ;Fotostompunkt i primärnät;fotostompunkt i primärnät;
Komponenter;ZF;Punkt i sekundärnät;referensobjekt för inmätning i sekundärnät;
Komponenter;ZFA;Triangelpunkt i sekundärnät;triangelpunkt i sekundärnät;
Komponenter;ZFB;Polygonpunkt i sekundärnät;polygonpunkt i sekundärnät;
Komponenter;ZFC;Detaljpunkt i sekundärnät;detaljpunkt i sekundärnät;
Komponenter;ZG;Geoteknikrelaterat undersökningsobjekt;inmätt objekt av geotekniskt förhållande;
Komponenter;ZGA;Undersökningspunkt;geoteknisk undersökningspunkt;geoteknik, miljögeologi, geofysik, hydrogeologi
Komponenter;ZGB;Undersökningslinje;geoteknisk undersökningslinje;
Komponenter;ZGC;Undersökningsvolym;geoteknisk undersökningsvolym;
Komponenter;ZH;Terrängmodell;inmätt ytobjekt;
Komponenter;ZHA;Siluettmodell;ytmodell som i tre dimensioner beskriver den översta ytan av landskapet inkluderande dess vegetation och byggnadsverk;
Komponenter;ZHB;Markmodell;ytmodell som i tre dimensioner beskriver höjden av den översta ytan av marken och bottenytan i sjöar och vattendrag;
Komponenter;ZHC;Jordmodell;ytmodell som i tre dimensioner beskriver jordlagerföljder under den översta ytan av mark;
Komponenter;ZHD;Bergmodell;ytmodell som i tre dimensioner beskriver den översta ytan av berget, synlig och under mark;
Komponenter;ZHE;Grundvattenmodell;ytmodell som i tre dimensioner beskriver grundvattenytan;
Komponenter;ZHF;Erhållen tunnelkontur;ytmodell som i tre dimensioner beskriver tunnelkontur efter utförd bergschakt;
Komponenter;ZJ;Ytpunkt;inmätt punktobjekt;
Komponenter;ZJA;Singelpunkt;mätpunkt som bestämts utan linjetillhörighet;fri punkt, allmän höjdpunkt
Komponenter;ZJB;Sten;mätpunkt för sten ;
Komponenter;ZJC;Block;mätpunkt för block ;
Komponenter;ZJD;Berg;mätpunkt för berg ;
Komponenter;ZJE;Vattennivå;mätpunkt för vattennivå ;
Komponenter;ZJF;Bottennivå;mätpunkt för bottennivå i vattensamling ;
Komponenter;ZJG;Källa;mätpunkt för källa ;
Komponenter;ZK;Ytlinje;inmätt linjeobjekt som inte utgör begränsningslinje för område;
Komponenter;ZKA;Allmän linje;mätlinje som används för att nedbringa triangelstorlekar i triangelmodell;brytlinje
Komponenter;ZKB;Släntkrön;mätlinje för övre avslutning av slänt;
Komponenter;ZKC;Släntfot;mätlinje för nedre avslutning av slänt;
Komponenter;ZKD;Bergkrön;mätlinje för övre avslutning av bergslänt;
Komponenter;ZKE;Bergfot;mätlinje för nedre avslutning av bergslänt;
Komponenter;ZKF;Bergkrön, sprängt;mätlinje för övre avslutning av sprängd bergslänt;
